Species Name,Date,Area,Location,Latitude,Longitude,Length (m),Water Temp (C),Month,Day of Week
AUSTRALIAN BLACKTIP,2016-11-16,Cairns,Holloways Beach,-16°49.82,145°44.85,1,27,November,Wednesday
BLACKTIP REEF WHALER,2016-01-02,Cairns,Buchans Point Beach,-16°43.56,145°39.78,0.7,27,January,Saturday
BLACKTIP REEF WHALER,2016-01-02,Cairns,Ellis Beach,-16°43.3,145°39.01,1.5,27,January,Saturday
BLACKTIP REEF WHALER,2016-01-05,Mackay,Harbour Beach,-21°7.08,149°13.62,2.2,26,January,Tuesday
BLACKTIP REEF WHALER,2016-01-07,Mackay,Harbour Beach,-21°7.1,149°13.68,1.7,26,January,Thursday
BLACKTIP REEF WHALER,2016-01-13,Cairns,Holloways Beach,-16°49.89,145°44.91,1.2,29,January,Wednesday
BLACKTIP REEF WHALER,2016-01-20,Cairns,Palm Cove,-16°44.74,145°40.53,0.75,30,January,Wednesday
BLACKTIP REEF WHALER,2016-02-15,Townsville,Alma Bay,-19°9.06,146°52.45,1.2,31,February,Monday
BLACKTIP REEF WHALER,2016-03-22,Cairns,Clifton Beach,-16°45.58,145°40.93,0.8,29,March,Tuesday
BLACKTIP REEF WHALER,2016-04-02,Cairns,Trinity Beach,-16°46.5,145°41.97,1.3,29,April,Saturday
BLACKTIP REEF WHALER,2016-04-13,Cairns,Trinity Beach,-16°46.72,145°42.1,1.6,27,April,Wednesday
BLACKTIP REEF WHALER,2016-05-11,Capricorn Coast,Farnborough Beach,-23°7.25,150°45.21,1.05,25,May,Wednesday
BLACKTIP REEF WHALER,2016-05-25,Townsville,Nelly Bay,-19°10.05,146°51.21,1.22,23,May,Wednesday
BLACKTIP REEF WHALER,2016-05-28,Cairns,Ellis Beach,-16°43.36,145°39.08,0.8,25,May,Saturday
BLACKTIP REEF WHALER,2016-06-11,Cairns,Ellis Beach,-16°43.21,145°38.85,1.2,25,June,Saturday
BLACKTIP REEF WHALER,2016-07-27,Townsville,Radical Bay,-19°6.51,146°52.63,1.1,24,July,Wednesday
BLACKTIP REEF WHALER,2016-07-29,Townsville,The Strand,-19°14.44,146°48.77,1.13,23,July,Friday
BLACKTIP REEF WHALER,2016-09-24,Townsville,Florence Bay,-19°7.3,146°53.12,1.25,27,September,Saturday
BLACKTIP REEF WHALER,2016-10-19,Cairns,Holloways Beach,-16°49.82,145°44.85,0.85,26,October,Wednesday
BLACKTIP REEF WHALER,2016-10-21,Mackay,Harbour Beach,-21°7.08,149°13.62,1.8,25,October,Friday
BLACKTIP REEF WHALER,2016-12-17,Gladstone,Tannum Sands,-23°56.91,151°22.9,0.9,27,December,Saturday
BULL WHALER,2016-01-02,Gold Coast,Tallebudgera Beach,-28°5.47,153°28.26,2.5,25,January,Saturday
BULL WHALER,2016-01-06,Capricorn Coast,Lammermoor Beach,-23°9.16,150°46.2,0.98,27,January,Wednesday
BULL WHALER,2016-01-07,Mackay,Bucasia Beach,-21°1.46,149°9.97,2.2,26,January,Thursday
BULL WHALER,2016-01-10,Mackay,Eimeo Beach,-21°1.8,149°10.8,2,26,January,Sunday
BULL WHALER,2016-01-12,Rainbow Beach,Rainbow Beach,-25°53.92,153°5.87,2.85,25,January,Tuesday
BULL WHALER,2016-01-21,Capricorn Coast,Yeppoon,-23°7.58,150°45.28,0.83,27,January,Thursday
BULL WHALER,2016-01-30,Capricorn Coast,Emu Park,-23°15.66,150°49.92,1.14,28,January,Saturday
BULL WHALER,2016-01-30,Capricorn Coast,Emu Park,-23°15.77,150°49.89,1.05,28,January,Saturday
BULL WHALER,2016-02-02,Sunshine Coast South & Bribie Island,Point Cartwright,-26°40.97,153°8.51,1,24,February,Tuesday
BULL WHALER,2016-02-05,Townsville,Florence Bay,-19°7.3,146°53.12,1.1,31,February,Friday
BULL WHALER,2016-02-09,Capricorn Coast,Emu Park,-23°15.73,150°49.9,0.67,27,February,Tuesday
BULL WHALER,2016-02-11,Capricorn Coast,Farnborough Beach,-23°6.82,150°45.26,1.12,27,February,Thursday
BULL WHALER,2016-02-12,Townsville,Alma Bay,-19°9.06,146°52.45,2,30,February,Friday
BULL WHALER,2016-02-16,Capricorn Coast,Kemp Beach,-23°11.23,150°47.92,0.95,26,February,Tuesday
BULL WHALER,2016-02-18,Capricorn Coast,Emu Park,-23°15.66,150°49.92,1.08,27,February,Thursday
BULL WHALER,2016-02-18,Capricorn Coast,Yeppoon,-23°7.8,150°45.26,1.15,27,February,Thursday
BULL WHALER,2016-02-19,Capricorn Coast,Mulambin Beach,-23°11.41,150°47.93,1.07,27,February,Friday
BULL WHALER,2016-02-19,Capricorn Coast,Tanby Point,-23°13.87,150°49.51,1.15,27,February,Friday
BULL WHALER,2016-02-22,Gladstone,Tannum Sands,-23°57.03,151°23.04,2.25,28,February,Monday
BULL WHALER,2016-02-22,Gladstone,Tannum Sands,-23°56.55,151°22.54,1.6,28,February,Monday
BULL WHALER,2016-02-25,Sunshine Coast South & Bribie Island,Bribie Island,-27°4.19,153°12.7,1.74,24,February,Thursday
BULL WHALER,2016-02-26,Capricorn Coast,Emu Park,-23°15.61,150°49.94,0.8,27,February,Friday
BULL WHALER,2016-02-26,Capricorn Coast,Tanby Point,-23°14.5,150°49.67,0.85,27,February,Friday
BULL WHALER,2016-02-26,Gold Coast,Nobby Beach,-28°3.22,153°26.54,1.85,27,February,Friday
BULL WHALER,2016-02-27,Capricorn Coast,Emu Park,-23°15.16,150°50.08,1.25,27,February,Saturday
BULL WHALER,2016-02-27,Capricorn Coast,Lammermoor Beach,-23°10.03,150°47.68,0.82,27,February,Saturday
BULL WHALER,2016-02-27,Capricorn Coast,Mulambin Beach,-23°13.57,150°49.45,1.08,27,February,Saturday
BULL WHALER,2016-02-27,Capricorn Coast,Yeppoon,-23°7.58,150°45.28,0.95,27,February,Saturday
BULL WHALER,2016-02-27,Capricorn Coast,Yeppoon,-23°7.74,150°45.27,0.89,27,February,Saturday
BULL WHALER,2016-03-04,Sunshine Coast North,Sunrise Beach,-26°25.04,153°6.98,2.15,24,March,Friday
BULL WHALER,2016-03-13,Capricorn Coast,Kemp Beach,-23°10.13,150°47.69,0.82,26,March,Sunday
BULL WHALER,2016-03-13,Capricorn Coast,Tanby Point,-23°13.7,150°49.45,0.87,26,March,Sunday
BULL WHALER,2016-03-14,Capricorn Coast,Emu Park,-23°15.69,150°49.91,0.78,26,March,Monday
BULL WHALER,2016-03-14,Capricorn Coast,Kemp Beach,-23°10.23,150°47.69,1.21,26,March,Monday
BULL WHALER,2016-03-23,Capricorn Coast,Mulambin Beach,-23°11.3,150°47.92,1.05,27,March,Wednesday
BULL WHALER,2016-03-25,Cairns,Holloways Beach,-16°49.89,145°44.91,2.5,29,March,Friday
BULL WHALER,2016-04-01,Nth Stradbroke Is.,Ocean Beach,-27°27.2,153°32.41,2.1,26,April,Friday
BULL WHALER,2016-04-08,Sunshine Coast North,Marcoola Beach,-26°34.94,153°6.15,2.13,24,April,Friday
BULL WHALER,2016-04-11,Capricorn Coast,Fishermans Beach,-23°14.57,150°49.68,1.25,26,April,Monday
BULL WHALER,2016-04-18,Townsville,Horseshoe Bay,-19°6.22,146°51.57,2.65,27,April,Monday
BULL WHALER,2016-04-28,Townsville,Florence Bay,-19°7.39,146°53.11,1.9,26,April,Thursday
BULL WHALER,2016-04-28,Townsville,The Strand,-19°14.29,146°48.61,1.5,26,April,Thursday
BULL WHALER,2016-04-30,Gold Coast,Rainbow Bay,-28°9.49,153°32.51,1.6,24,April,Saturday
BULL WHALER,2016-05-02,Capricorn Coast,Emu Park,-23°15.69,150°49.91,0.72,27,May,Monday
BULL WHALER,2016-05-03,Capricorn Coast,Fishermans Beach,-23°14.57,150°49.68,0.84,26,May,Tuesday
BULL WHALER,2016-05-06,Gladstone,Tannum Sands,-23°56.98,151°22.96,1.85,25,May,Friday
BULL WHALER,2016-05-07,Bundaberg,Neilson Park,-24°48.49,152°27.94,1.8,24,May,Saturday
BULL WHALER,2016-05-07,Capricorn Coast,Fishermans Beach,-23°14.86,150°49.98,1.12,24,May,Saturday
BULL WHALER,2016-05-07,Capricorn Coast,Tanby Point,-23°13.7,150°49.45,1.43,25,May,Saturday
BULL WHALER,2016-05-10,Mackay,Harbour Beach,-21°7.05,149°13.69,1.9,25,May,Tuesday
BULL WHALER,2016-05-23,Capricorn Coast,Fishermans Beach,-23°14.62,150°49.68,0.93,24,May,Monday
BULL WHALER,2016-05-23,Gladstone,Tannum Sands,-23°56.91,151°22.9,1.55,24,May,Monday
BULL WHALER,2016-05-28,Sunshine Coast North,Sunrise Beach,-26°25.1,153°6.97,1.45,23,May,Saturday
BULL WHALER,2016-06-03,Gold Coast,Tallebudgera Beach,-28°5.47,153°28.26,1.77,22,June,Friday
BULL WHALER,2016-06-04,Capricorn Coast,Farnborough Beach,-23°7.14,150°45.22,0.84,24,June,Saturday
BULL WHALER,2016-06-04,Capricorn Coast,Tanby Point,-23°13.87,150°49.51,0.78,24,June,Saturday
BULL WHALER,2016-06-08,Sunshine Coast North,Maroochydore Beach,-26°39.27,153°6.66,1.52,23,June,Wednesday
BULL WHALER,2016-06-11,Gold Coast,Bilinga Beach,-28°8.59,153°30.42,1.83,21,June,Saturday
BULL WHALER,2016-06-11,Sunshine Coast North,Noosa,-26°22.91,153°5.56,1.42,23,June,Saturday
BULL WHALER,2016-06-11,Sunshine Coast North,Noosa,-26°22.91,153°5.56,1.55,23,June,Saturday
BULL WHALER,2016-06-17,Capricorn Coast,Fishermans Beach,-23°14.67,150°49.69,0.89,22,June,Friday
BULL WHALER,2016-06-20,Townsville,Horseshoe Bay,-19°6.22,146°51.57,1.09,24,June,Monday
BULL WHALER,2016-06-21,Sunshine Coast North,Maroochydore Beach,-26°39.27,153°6.66,1.56,23,June,Tuesday
BULL WHALER,2016-06-27,Bundaberg,Neilson Park,-24°48.4,152°27.91,1.64,20,June,Monday
BULL WHALER,2016-06-30,Sunshine Coast South & Bribie Island,Caloundra,-26°48.55,153°8.73,1.45,22,June,Thursday
BULL WHALER,2016-07-09,Gladstone,Tannum Sands,-23°56.22,151°22.46,1.1,18,July,Saturday
BULL WHALER,2016-07-11,Gold Coast,Miami Beach,-28°4,153°27.04,1.88,20,July,Monday
BULL WHALER,2016-07-27,Gladstone,Tannum Sands,-23°56.62,151°22.58,1.2,19,July,Wednesday
BULL WHALER,2016-08-02,Gladstone,Tannum Sands,-23°56.49,151°22.49,0.9,20,August,Tuesday
BULL WHALER,2016-08-02,Townsville,Radical Bay,-19°6.51,146°52.63,2,20,August,Tuesday
BULL WHALER,2016-08-10,Bundaberg,Neilson Park,-24°48.23,152°27.75,1.73,17,August,Wednesday
BULL WHALER,2016-08-11,Gold Coast,Surfers Paradise Beach,-28°0.09,153°26.16,1.7,20,August,Thursday
BULL WHALER,2016-08-12,Gladstone,Tannum Sands,-23°56.55,151°22.54,1.6,20,August,Friday
BULL WHALER,2016-08-18,Townsville,Nelly Bay,-19°10.52,146°50.97,1.35,23,August,Thursday
BULL WHALER,2016-08-24,Rainbow Beach,Rainbow Beach,-25°53.62,153°5.69,2.08,21,August,Wednesday
BULL WHALER,2016-08-25,Townsville,Horseshoe Bay,-19°6.26,146°51.56,2.8,23,August,Thursday
BULL WHALER,2016-09-20,Bundaberg,Neilson Park,-24°48.32,152°27.82,1.6,21,September,Tuesday
BULL WHALER,2016-10-04,Bundaberg,Neilson Park,-24°48.49,152°27.94,1.68,22,October,Tuesday
BULL WHALER,2016-10-17,Capricorn Coast,Tanby Point,-23°14.5,150°49.67,0.84,23,October,Monday
BULL WHALER,2016-10-19,Townsville,Horseshoe Bay,-19°6.22,146°51.57,2.1,27,October,Wednesday
BULL WHALER,2016-10-26,Gladstone,Tannum Sands,-23°56.62,151°22.58,2,24,October,Wednesday
BULL WHALER,2016-10-28,Rainbow Beach,Rainbow Beach,-25°53.77,153°5.78,2.25,23,October,Friday
BULL WHALER,2016-11-06,Gladstone,Tannum Sands,-23°56.62,151°22.58,1.2,25,November,Sunday
BULL WHALER,2016-11-12,Gladstone,Tannum Sands,-23°56.71,151°22.72,1.97,27,November,Saturday
BULL WHALER,2016-11-25,Capricorn Coast,Emu Park,-23°15.69,150°49.91,1.1,26,November,Friday
BULL WHALER,2016-11-30,Townsville,The Strand,-19°14.7,146°49.04,1.3,29,November,Wednesday
BULL WHALER,2016-12-08,Gold Coast,Currumbin Beach,-28°7.4,153°29.35,2.56,20,December,Thursday
BULL WHALER,2016-12-08,Sunshine Coast North,Noosa,-26°22.91,153°5.56,2.61,23,December,Thursday
BULL WHALER,2016-12-23,Townsville,Pallarenda Beach,-19°11.98,146°46.66,1.5,30,December,Friday
BULL WHALER,2016-12-24,Capricorn Coast,Mulambin Beach,-23°13.57,150°49.45,0.91,26,December,Saturday
BULL WHALER,2016-12-31,Capricorn Coast,Tanby Point,-23°13.78,150°49.48,0.78,26,December,Saturday
COMMON BLACKTIP WHALER,2016-01-03,Gladstone,Tannum Sands,-23°56.87,151°22.84,1.4,26,January,Sunday
COMMON BLACKTIP WHALER,2016-02-10,Gladstone,Tannum Sands,-23°56.98,151°22.96,1,29,February,Wednesday
COMMON BLACKTIP WHALER,2016-02-12,Gladstone,Tannum Sands,-23°56.98,151°22.96,1.2,27,February,Friday
COMMON BLACKTIP WHALER,2016-02-12,Gladstone,Tannum Sands,-23°56.55,151°22.54,1,27,February,Friday
COMMON BLACKTIP WHALER,2016-02-17,Gladstone,Tannum Sands,-23°56.77,151°22.75,1.1,28,February,Wednesday
COMMON BLACKTIP WHALER,2016-02-22,Gladstone,Tannum Sands,-23°57.03,151°23.04,0.8,28,February,Monday
COMMON BLACKTIP WHALER,2016-02-29,Gladstone,Tannum Sands,-23°56.62,151°22.58,0.95,28,February,Monday
COMMON BLACKTIP WHALER,2016-03-03,Rainbow Beach,Rainbow Beach,-25°53.71,153°5.94,1.65,26,March,Thursday
COMMON BLACKTIP WHALER,2016-03-16,Gladstone,Tannum Sands,-23°56.87,151°22.84,1.1,27,March,Wednesday
COMMON BLACKTIP WHALER,2016-03-20,Gladstone,Tannum Sands,-23°56.55,151°22.54,1.25,27,March,Sunday
COMMON BLACKTIP WHALER,2016-03-25,Gladstone,Tannum Sands,-23°56.55,151°22.54,1.1,27,March,Friday
COMMON BLACKTIP WHALER,2016-03-26,Gladstone,Tannum Sands,-23°56.55,151°22.54,1,27,March,Saturday
COMMON BLACKTIP WHALER,2016-04-09,Gladstone,Tannum Sands,-23°56.55,151°22.54,0.95,28,April,Saturday
COMMON BLACKTIP WHALER,2016-04-12,Gladstone,Tannum Sands,-23°56.62,151°22.58,0.9,26,April,Tuesday
COMMON BLACKTIP WHALER,2016-04-20,Gladstone,Tannum Sands,-23°56.98,151°22.96,1.3,25,April,Wednesday
COMMON BLACKTIP WHALER,2016-05-06,Gladstone,Tannum Sands,-23°56.55,151°22.54,1.3,25,May,Friday
COMMON BLACKTIP WHALER,2016-05-21,Gladstone,Tannum Sands,-23°56.22,151°22.46,1.4,26,May,Saturday
COMMON BLACKTIP WHALER,2016-06-04,Gladstone,Tannum Sands,-23°56.68,151°22.67,1.2,22,June,Saturday
COMMON BLACKTIP WHALER,2016-06-08,Gladstone,Tannum Sands,-23°56.82,151°22.78,1.1,21,June,Wednesday
COMMON BLACKTIP WHALER,2016-06-16,Townsville,Alma Bay,-19°9.02,146°52.43,1.3,24,June,Thursday
COMMON BLACKTIP WHALER,2016-06-16,Townsville,Florence Bay,-19°7.35,146°53.11,1.2,24,June,Thursday
COMMON BLACKTIP WHALER,2016-06-22,Gladstone,Tannum Sands,-23°56.91,151°22.9,1.1,20,June,Wednesday
COMMON BLACKTIP WHALER,2016-08-18,Gladstone,Tannum Sands,-23°56.91,151°22.9,0.9,19,August,Thursday
COMMON BLACKTIP WHALER,2016-08-18,Gladstone,Tannum Sands,-23°57.03,151°23.04,0.85,19,August,Thursday
COMMON BLACKTIP WHALER,2016-08-29,Gladstone,Tannum Sands,-23°56.82,151°22.78,0.9,20,August,Monday
COMMON BLACKTIP WHALER,2016-09-10,Gladstone,Tannum Sands,-23°56.49,151°22.49,0.8,21,September,Saturday
COMMON BLACKTIP WHALER,2016-09-20,Gladstone,Tannum Sands,-23°56.91,151°22.9,0.75,23,September,Tuesday
COMMON BLACKTIP WHALER,2016-10-17,Townsville,Picnic Bay,-19°10.92,146°50.59,1.35,26,October,Monday
COMMON BLACKTIP WHALER,2016-10-19,Gladstone,Tannum Sands,-23°56.98,151°22.96,0.9,24,October,Wednesday
